A		RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD
B		S12A	S12B	S12C	S12D	S333
C		FLOW	FLOW	FLOW	FLOW	FLOW
E						
F		SIMULATED	SIMULATED	SIMULATED	SIMULATED	SIMULATED
Units		FT^3/S	FT^3/S	FT^3/S	FT^3/S	FT^3/S
Type		PER-AVER	PER-AVER	PER-AVER	PER-AVER	PER-AVER
138	18May1965	0.0	0.0	0.0	0.0	125.6
139	19May1965	0.0	0.0	0.0	0.0	125.6
140	20May1965	0.0	0.0	0.0	0.0	125.6
141	21May1965	0.0	0.0	0.0	0.0	125.6
142	22May1965	0.0	0.0	0.0	0.0	126.0
143	23May1965	0.0	0.0	0.0	0.0	126.0
144	24May1965	0.0	0.0	0.0	0.0	126.0
145	25May1965	0.0	0.0	0.0	0.0	126.0
146	26May1965	0.0	0.0	0.0	0.0	126.0
147	27May1965	0.0	0.0	0.0	0.0	126.0
148	28May1965	0.0	0.0	0.0	0.0	126.0
149	29May1965	0.0	0.0	0.0	0.0	125.9
150	30May1965	0.0	0.0	0.0	0.0	125.9
151	31May1965	0.0	0.0	0.0	0.0	125.9
152	01Jun1965	0.0	0.0	0.0	0.0	125.9
153	02Jun1965	0.0	0.0	0.0	0.0	125.9
154	03Jun1965	0.0	0.0	0.0	0.0	125.9
155	04Jun1965	0.0	0.0	0.0	0.0	125.9
156	05Jun1965	0.0	0.0	0.0	0.0	100.2
157	06Jun1965	0.0	0.0	0.0	0.0	100.2
158	07Jun1965	0.0	0.0	0.0	0.0	100.2
159	08Jun1965	0.0	0.0	0.0	0.0	100.2
160	09Jun1965	0.0	0.0	0.0	0.0	100.2
161	10Jun1965	0.0	0.0	0.0	0.0	100.2
162	11Jun1965	0.0	0.0	0.0	0.0	100.2
163	12Jun1965	0.0	0.0	0.0	0.0	103.6
164	13Jun1965	0.0	0.0	0.0	0.0	103.6
165	14Jun1965	0.0	0.0	0.0	0.0	103.6
166	15Jun1965	0.0	0.0	0.0	0.0	103.6
167	16Jun1965	0.0	0.0	0.0	0.0	103.6
168	17Jun1965	0.0	0.0	0.0	0.0	103.6
169	18Jun1965	0.0	0.0	0.0	0.0	103.6
170	19Jun1965	0.0	0.0	0.0	0.0	114.8
171	20Jun1965	0.0	0.0	0.0	0.0	114.8
172	21Jun1965	0.0	0.0	0.0	0.0	114.8
173	22Jun1965	0.0	0.0	0.0	0.0	114.8
174	23Jun1965	0.0	0.0	0.0	0.0	114.8
175	24Jun1965	0.0	0.0	0.0	0.0	114.8
176	25Jun1965	0.0	0.0	0.0	0.0	114.8
177	26Jun1965	0.0	0.0	0.0	0.0	61.4
178	27Jun1965	0.0	0.0	0.0	0.0	61.4
179	28Jun1965	0.0	0.0	0.0	0.0	61.4
180	29Jun1965	0.0	0.0	0.0	0.0	61.4
181	30Jun1965	0.0	0.0	0.0	0.0	61.4
182	01Jul1965	0.0	0.0	0.0	0.0	61.4
183	02Jul1965	0.0	0.0	0.0	0.0	61.4
184	03Jul1965	0.0	0.0	0.0	0.0	125.7
185	04Jul1965	0.0	0.0	0.0	0.0	125.7
186	05Jul1965	0.0	0.0	0.0	0.0	125.7
187	06Jul1965	0.0	0.0	0.0	0.0	125.7
188	07Jul1965	0.0	0.0	0.0	0.0	125.7
189	08Jul1965	0.0	0.0	0.0	0.0	125.7
190	09Jul1965	0.0	0.0	0.0	0.0	125.7
191	10Jul1965	0.0	0.0	0.0	0.0	51.2
192	11Jul1965	0.0	0.0	0.0	0.0	51.2
193	12Jul1965	0.0	0.0	0.0	0.0	51.2
